🕘️更新时间,#genre#
2025-12-05 14:53:30,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8

4K频道,#genre#
北京卫视4K,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视4K,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视4K,http://183.220.107.138:4022/rtp/239.11.0.121:5140
北京卫视4K,http://183.220.107.138:4022/rtp/239.11.0.121:5140
江苏卫视4K,http://221.205.180.120:8004/rtp/226.0.1.249:2122
江苏卫视4K,http://221.205.180.120:8004/rtp/226.0.1.249:2122
江苏卫视4K,http://116.179.130.16:6001/rtp/226.0.1.249:2122
江苏卫视4K,http://116.179.130.16:6001/rtp/226.0.1.249:2122
江苏卫视4K,http://zqh2333.top:2222/rtp/239.94.0.117:5140
江苏卫视4K,http://zqh2333.top:2222/rtp/239.94.0.117:5140
江苏卫视4K,http://tnvcn.com:8012/rtp/239.3.1.113:3003
江苏卫视4K,http://tnvcn.com:8012/rtp/239.3.1.113:3003
东方卫视4K,http://221.205.180.120:8004/rtp/226.0.1.248:2121
东方卫视4K,http://116.179.130.16:6001/rtp/226.0.1.248:2121
东方卫视4K,http://zqh2333.top:2222/rtp/239.94.0.119:5140
东方卫视4K,http://tnvcn.com:8012/rtp/239.3.1.119:3006
湖南卫视4K,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
湖南卫视4K,http://171.125.90.120:6001/rtp/226.0.1.246:2125
湖南卫视4K,http://171.125.90.120:6001/rtp/226.0.1.246:2125
湖南卫视4K,http://116.179.130.16:6001/rtp/226.0.1.246:2125
湖南卫视4K,http://zqh2333.top:2222/rtp/239.94.0.116:5140
湖南卫视4K,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226509/.m3u8
湖南卫视4K,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226509/.m3u8
湖南卫视4K,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226509/1.m3u8
湖南卫视4K,http://tnvcn.com:8012/rtp/239.3.1.112:3002
湖南卫视4K,http://tnvcn.com:8012/rtp/239.3.1.132:8012
山东卫视4K,http://171.125.90.120:6001/rtp/226.0.1.251:2124
山东卫视4K,http://221.205.180.120:8004/rtp/226.0.1.251:2124
山东卫视4K,http://116.179.130.16:6001/rtp/226.0.1.251:2124
山东卫视4K,http://zqh2333.top:2222/rtp/239.94.0.120:5140
山东卫视4K,http://tnvcn.com:8012/rtp/239.3.1.144:3005
浙江卫视4K,http://171.125.90.120:6001/rtp/226.0.1.247:2123
浙江卫视4K,http://221.205.180.120:8004/rtp/226.0.1.247:2123
浙江卫视4K,http://116.179.130.16:6001/rtp/226.0.1.247:2123
浙江卫视4K,http://zqh2333.top:2222/rtp/239.94.0.118:5140
浙江卫视4K,http://tnvcn.com:8012/rtp/239.3.1.114:3004
四川卫视4k,http://satellitepull.cnr.cn/live/wxscws/playlist.m3u8
四川卫视4k,http://60.220.163.86:4000/rtp/226.0.1.250:2126
四川卫视4k,http://60.220.163.86:4000/rtp/226.0.1.250:2126
四川卫视4k,http://60.220.163.86:4000/rtp/226.0.1.250:2126苏州4k
四川卫视4k,http://183.220.107.138:4022/rtp/239.11.0.78:5140
四川卫视4k,http://171.125.90.120:6001/rtp/226.0.1.250:2126
四川卫视4k,http://221.205.180.120:8004/rtp/226.0.1.250:2126
四川卫视4k,http://116.179.130.16:6001/rtp/226.0.1.250:2126
四川卫视4k,http://zqh2333.top:2222/rtp/239.94.0.115:5140
四川卫视4k,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226995/.m3u8

📺央视频道,#genre#
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-1,http://183.220.107.138:4022/rtp/239.11.0.130:5140
CCTV-1,http://tnvcn.com:8012/rtp/239.3.1.129:8008
CCTV-2,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226911/.m3u8
CCTV-4,http://112.6.239.227:8207/hls/4/index.m3u8
CCTV-4,http://112.6.239.227:8207/hls/4/index.m3u8
CCTV-4,http://183.220.107.138:4022/rtp/239.11.0.109:5140
CCTV-5,http://112.6.239.227:8207/hls/5/index.m3u8
CCTV-5,http://112.6.239.227:8207/hls/6/index.m3u8
CCTV-5,http://tnvcn.com:8012/rtp/239.3.1.130:8004
CCTV-5+,http://112.6.239.227:8207/hls/6/index.m3u8
CCTV-5+,http://tnvcn.com:8012/rtp/239.3.1.130:8004
CCTV-6,http://pa.kuangdeng.top:8081/hls/6/index.m3u8
CCTV-6,http://pa.kuangdeng.top:8081/hls/6/index.m3u8
CCTV-6,http://112.6.239.227:8207/hls/7/index.m3u8
CCTV-6,http://tnvcn.com:8012/rtp/239.3.1.174:8001
CCTV-7,http://112.6.239.227:8207/hls/8/index.m3u8
CCTV-7,http://183.220.107.138:4022/rtp/239.11.0.110:5140
CCTV-7,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/.m3u8
CCTV-7,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226906/.m3u8
CCTV-8,http://pa.kuangdeng.top:8081/hls/8/index.m3u8
CCTV-8,http://112.6.239.227:8207/hls/9/index.m3u8
CCTV-8,http://tnvcn.com:8012/rtp/239.3.1.175:8001
CCTV-9,http://pa.kuangdeng.top:8081/hls/9/index.m3u8
CCTV-9,http://112.6.239.227:8207/hls/10/index.m3u8
CCTV-9,http://183.220.107.138:4022/rtp/239.11.0.111:5140
CCTV-9,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/.m3u8
CCTV-9,http://tnvcn.com:8012/rtp/239.3.1.62:8112
CCTV-9,http://60.13.52.236:65500/newlive/live/hls/9/live.m3u8
CCTV-9,http://60.13.52.236:65500/newlive/live/hls/9/live.m3u8
CCTV-10,http://pa.kuangdeng.top:8081/hls/10/index.m3u8
CCTV-10,http://112.6.239.227:8207/hls/11/index.m3u8
CCTV-10,http://183.220.107.138:4022/rtp/239.11.0.112:5140
CCTV-10,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226918/.m3u8
CCTV-10,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8
CCTV-10,http://60.13.52.236:65500/newlive/live/hls/10/live.m3u8
CCTV-10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8
CCTV-10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8
CCTV-10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://pa.kuangdeng.top:8081/hls/11/index.m3u8
CCTV-11,http://112.6.239.227:8207/hls/12/index.m3u8
CCTV-11,http://183.220.107.138:4022/rtp/239.11.0.22:5140
CCTV-11,http://tnvcn.com:8012/rtp/239.3.1.152:8120
CCTV-11,http://60.13.52.236:65500/newlive/live/hls/11/live.m3u8
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://pa.kuangdeng.top:8081/hls/12/index.m3u8
CCTV-12,http://112.6.239.227:8207/hls/13/index.m3u8
CCTV-12,http://183.220.107.138:4022/rtp/239.11.0.113:5140
CCTV-12,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/.m3u8
CCTV-12,http://tnvcn.com:8012/rtp/239.3.1.64:8124
CCTV-12,http://60.13.52.236:65500/newlive/live/hls/12/live.m3u8
CCTV-12,http://61.136.172.236:9901/tsfile/live/0012_1.m3u8
CCTV-13,http://sh.lnott.top:880/dx13.m3u8
CCTV-13,http://sh.lnott.top:880/dx13.m3u8
CCTV-13,http://112.6.239.227:8207/hls/14/index.m3u8
CCTV-13,http://183.220.107.138:4022/rtp/239.11.0.24:5140
CCTV-13,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226339/.m3u8
CCTV-13,http://60.13.52.236:65500/newlive/live/hls/13/live.m3u8
CCTV-13,http://60.13.52.236:65500/newlive/live/hls/16/live.m3u8
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8
CCTV-14,http://pa.kuangdeng.top:8081/hls/14/index.m3u8
CCTV-14,http://sh.lnott.top:880/dx14.m3u8
CCTV-14,http://183.220.107.138:4022/rtp/239.11.0.114:5140
CCTV-14,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226904/.m3u8
CCTV-14,http://tnvcn.com:8012/rtp/239.3.1.65:8132
